Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2021-07-07,i32GjngS0Z,otjt26R0oL,Yqn0kmPwI8,Barbell Shoulder Press,10,29.483539113316585,fake_id_834
2021-06-01,d1d0UjzaWT,dFycDkJyHe,ecJAbIOm9e,Dumbbell Shoulder Raise,4,8.5,fake_id_885
2021-08-01,AmvGWgglRE,qfkBJ4A5eQ,XSwpniX9m6,Dead Bug,8,0.0,fake_id_870
2021-02-12,K9Dz1YDxFS,otjt26R0oL,uQUHOezjAU,Barbell Shoulder Press,7,27.0,fake_id_899
2021-06-15,Voq2MTcfPp,EAjKaB5zWy,MPydgEP1UQ,Dumbbell Kickbacks,8,15.87575183024739,fake_id_835
2022-01-01,T89mrt3Sia,G1mxtZtEs5,YC7VqJiuV6,Back Squat,5,106.59433371737533,fake_id_882
2021-04-29,DN6oLIjH4J,w5njIJMJHb,RBWo3LvhvA,Kettlebell Upright Row,16,18.0,fake_id_858
2021-01-22,aFl68cA8eN,UThEK7cf4f,Dds8l3jwS3,Machine Fly,10,45.0,fake_id_867
2021-12-12,SAYs5t2ESd,xPS7RzoOGm,ZYgzOrcxKm,Bent Over Barbell Row,4,40.82336184920758,fake_id_871
2021-01-16,jDPETT5LC9,QFhUumXlvb,pAUTlXdanf,Reverse Grip Barbell Bent Over Row,15,22.67964547178199,fake_id_836
2021-05-06,GOchUd0Fg0,ACSgVaipTW,INULeeSWyY,Dumbbell Squeeze Press,16,9.071858188712795,fake_id_871
2021-03-29,8wQ8xlrBTV,wwpzETMErU,q3gB2oKCkU,Machine Shoulder Shrug,12,58.96707822663317,fake_id_864
2021-08-22,j5YWXDuiD6,N6zu9IJNBz,Sb7hP5NPLI,Leg Raise,18,0.0,fake_id_838
2021-05-26,JleyKS7Wgi,uHBREgyju0,2Xr05akEDo,Step Up,9,0.0,fake_id_863
2021-06-11,k6YB8uFMrj,58REE5sJU1,5QY1QmvKjI,Russian Twist,26,5.0,fake_id_858
2021-07-25,sBm3BpPzdt,zJlvUiMLou,n8OB1eJjct,Barbell Incline Bench Press,12,43.091326396385774,fake_id_839
2021-08-25,jq5GREe7MV,EAjKaB5zWy,bGoZe1zhPL,Dumbbell Kickbacks,12,13.607787283069193,fake_id_883
2021-07-13,9NjYNxdVoI,UThEK7cf4f,63avCmHn3D,Machine Fly,8,49.895220037920375,fake_id_887
2021-03-02,iiFRqCZvuP,dFycDkJyHe,GisniGuMyL,Dumbbell Shoulder Raise,10,9.071858188712795,fake_id_851
